Single
3648
Scan 0,   
0, 94.0
1, 92.0
2, 91.0
3, 94.0
4, 89.0
5, 90.0
6, 95.0
7, 95.0
8, 98.0
9, 92.0
10, 96.0
11, 88.0
12, 89.0
13, 94.0
14, 89.0
15, 89.0
16, 94.0
17, 92.0
18, 93.0
19, 95.0
20, 93.0
21, 94.0
22, 87.0
23, 88.0
24, 96.0
25, 95.0
26, 95.0
27, 93.0
28, 97.0
29, 93.0
30, 93.0
31, 95.0
32, 95.0
33, 93.0
34, 92.0
35, 89.0
36, 90.0
37, 94.0
38, 91.0
39, 95.0
40, 88.0
41, 92.0
42, 91.0
43, 90.0
44, 92.0
45, 92.0
46, 90.0
47, 95.0
48, 88.0
49, 90.0
50, 90.0
51, 93.0
52, 94.0
53, 93.0
54, 96.0
55, 88.0
56, 91.0
57, 94.0
58, 88.0
59, 93.0
60, 94.0
61, 97.0
62, 93.0
63, 95.0
64, 90.0
65, 90.0
66, 92.0
67, 92.0
68, 93.0
69, 89.0
70, 94.0
71, 90.0
72, 93.0
73, 95.0
74, 90.0
75, 91.0
76, 94.0
77, 89.0
78, 92.0
79, 92.0
80, 91.0
81, 93.0
82, 95.0
83, 91.0
84, 94.0
85, 90.0
86, 91.0
87, 91.0
88, 90.0
89, 91.0
90, 95.0
91, 93.0
92, 92.0
93, 95.0
94, 94.0
95, 93.0
96, 92.0
97, 92.0
98, 98.0
99, 93.0
100, 88.0
101, 94.0
102, 93.0
103, 92.0
104, 91.0
105, 89.0
106, 94.0
107, 96.0
108, 91.0
109, 92.0
110, 90.0
111, 86.0
112, 95.0
113, 92.0
114, 89.0
115, 92.0
116, 94.0
117, 93.0
118, 94.0
119, 91.0
120, 90.0
121, 94.0
122, 91.0
123, 95.0
124, 90.0
125, 91.0
126, 87.0
127, 90.0
128, 88.0
129, 91.0
130, 90.0
131, 92.0
132, 90.0
133, 92.0
134, 92.0
135, 96.0
136, 94.0
137, 94.0
138, 93.0
139, 94.0
140, 98.0
141, 89.0
142, 94.0
143, 90.0
144, 94.0
145, 89.0
146, 86.0
147, 90.0
148, 94.0
149, 93.0
150, 89.0
151, 91.0
152, 95.0
153, 93.0
154, 92.0
155, 93.0
156, 90.0
157, 91.0
158, 92.0
159, 95.0
160, 93.0
161, 92.0
162, 85.0
163, 92.0
164, 95.0
165, 90.0
166, 92.0
167, 95.0
168, 90.0
169, 92.0
170, 89.0
171, 94.0
172, 93.0
173, 92.0
174, 91.0
175, 99.0
176, 98.0
177, 90.0
178, 95.0
179, 90.0
180, 91.0
181, 93.0
182, 90.0
183, 93.0
184, 94.0
185, 90.0
186, 92.0
187, 92.0
188, 90.0
189, 91.0
190, 91.0
191, 92.0
192, 94.0
193, 93.0
194, 90.0
195, 93.0
196, 90.0
197, 92.0
198, 94.0
199, 92.0
200, 91.0
201, 91.0
202, 92.0
203, 91.0
204, 95.0
205, 91.0
206, 95.0
207, 94.0
208, 91.0
209, 88.0
210, 92.0
211, 90.0
212, 91.0
213, 91.0
214, 89.0
215, 95.0
216, 91.0
217, 95.0
218, 93.0
219, 94.0
220, 92.0
221, 92.0
222, 91.0
223, 92.0
224, 92.0
225, 88.0
226, 93.0
227, 93.0
228, 95.0
229, 93.0
230, 87.0
231, 91.0
232, 88.0
233, 91.0
234, 92.0
235, 92.0
236, 93.0
237, 94.0
238, 87.0
239, 93.0
240, 92.0
241, 91.0
242, 92.0
243, 94.0
244, 92.0
245, 96.0
246, 91.0
247, 95.0
248, 97.0
249, 88.0
250, 90.0
251, 92.0
252, 95.0
253, 91.0
254, 89.0
255, 92.0
256, 92.0
257, 90.0
258, 95.0
259, 90.0
260, 90.0
261, 90.0
262, 94.0
263, 92.0
264, 91.0
265, 89.0
266, 92.0
267, 88.0
268, 94.0
269, 91.0
270, 92.0
271, 95.0
272, 99.0
273, 91.0
274, 91.0
275, 94.0
276, 90.0
277, 90.0
278, 88.0
279, 91.0
280, 90.0
281, 95.0
282, 88.0
283, 90.0
284, 91.0
285, 93.0
286, 89.0
287, 90.0
288, 86.0
289, 91.0
290, 96.0
291, 91.0
292, 98.0
293, 90.0
294, 91.0
295, 92.0
296, 89.0
297, 88.0
298, 89.0
299, 92.0
300, 93.0
301, 92.0
302, 96.0
303, 95.0
304, 94.0
305, 92.0
306, 90.0
307, 93.0
308, 94.0
309, 90.0
310, 95.0
311, 91.0
312, 87.0
313, 88.0
314, 92.0
315, 95.0
316, 91.0
317, 88.0
318, 89.0
319, 93.0
320, 95.0
321, 97.0
322, 94.0
323, 92.0
324, 93.0
325, 87.0
326, 90.0
327, 92.0
328, 91.0
329, 89.0
330, 91.0
331, 91.0
332, 92.0
333, 90.0
334, 94.0
335, 88.0
336, 92.0
337, 95.0
338, 91.0
339, 96.0
340, 93.0
341, 94.0
342, 90.0
343, 91.0
344, 90.0
345, 93.0
346, 87.0
347, 95.0
348, 89.0
349, 94.0
350, 92.0
351, 92.0
352, 91.0
353, 95.0
354, 95.0
355, 93.0
356, 92.0
357, 89.0
358, 91.0
359, 96.0
360, 89.0
361, 95.0
362, 93.0
363, 90.0
364, 94.0
365, 88.0
366, 94.0
367, 92.0
368, 90.0
369, 93.0
370, 95.0
371, 89.0
372, 95.0
373, 90.0
374, 94.0
375, 91.0
376, 90.0
377, 96.0
378, 90.0
379, 93.0
