Single
3648
Scan 0,   
0, 94.0
1, 94.0
2, 99.0
3, 94.0
4, 93.0
5, 91.0
6, 95.0
7, 95.0
8,100.0
9, 92.0
10, 96.0
11, 95.0
12, 92.0
13, 97.0
14, 93.0
15, 94.0
16, 95.0
17,100.0
18, 89.0
19, 95.0
20, 93.0
21, 93.0
22, 90.0
23, 97.0
24, 95.0
25, 94.0
26, 95.0
27, 95.0
28, 93.0
29, 91.0
30, 92.0
31, 99.0
32, 96.0
33, 96.0
34, 92.0
35, 95.0
36, 95.0
37, 95.0
38, 92.0
39, 97.0
40, 93.0
41, 94.0
42, 99.0
43, 93.0
44, 92.0
45, 99.0
46, 95.0
47, 95.0
48, 93.0
49, 92.0
50, 95.0
51, 97.0
52, 93.0
53, 94.0
54, 93.0
55, 96.0
56, 92.0
57, 97.0
58, 93.0
59, 94.0
60, 91.0
61, 94.0
62, 91.0
63,102.0
64, 94.0
65, 97.0
66, 95.0
67, 95.0
68, 95.0
69, 93.0
70, 92.0
71, 88.0
72, 92.0
73, 94.0
74, 89.0
75, 95.0
76, 93.0
77, 88.0
78, 97.0
79, 97.0
80, 94.0
81, 95.0
82, 98.0
83, 95.0
84, 94.0
85, 97.0
86, 90.0
87, 95.0
88, 93.0
89, 93.0
90, 93.0
91, 95.0
92, 92.0
93, 94.0
94, 94.0
95, 92.0
96, 93.0
97, 92.0
98, 96.0
99, 92.0
100, 90.0
101, 95.0
102, 96.0
103, 93.0
104, 91.0
105, 93.0
106, 90.0
107, 93.0
108, 93.0
109, 90.0
110, 92.0
111, 93.0
112, 91.0
113, 94.0
114, 91.0
115, 91.0
116, 88.0
117, 95.0
118, 92.0
119, 96.0
120, 95.0
121, 95.0
122, 94.0
123, 96.0
124, 94.0
125, 94.0
126, 91.0
127, 92.0
128, 98.0
129, 96.0
130, 91.0
131, 96.0
132, 95.0
133, 94.0
134, 95.0
135, 96.0
136, 91.0
137, 91.0
138, 95.0
139, 94.0
140, 95.0
141, 97.0
142, 93.0
143, 95.0
144, 91.0
145, 94.0
146, 94.0
147, 98.0
148, 87.0
149, 99.0
150, 94.0
151, 96.0
152, 95.0
153, 93.0
154, 93.0
155, 99.0
156, 96.0
157, 96.0
158, 94.0
159, 97.0
160, 88.0
161, 94.0
162, 91.0
163, 99.0
164, 94.0
165, 92.0
166, 96.0
167, 95.0
168, 96.0
169, 93.0
170, 98.0
171, 96.0
172, 94.0
173, 92.0
174, 95.0
175, 88.0
176, 95.0
177, 92.0
178, 94.0
179, 92.0
180, 96.0
181, 96.0
182, 91.0
183, 92.0
184, 98.0
185, 94.0
186, 93.0
187, 95.0
188, 92.0
189,100.0
190, 94.0
191, 93.0
192, 93.0
193, 95.0
194, 94.0
195, 91.0
196, 92.0
197, 98.0
198, 92.0
199, 94.0
200, 92.0
201, 93.0
202, 96.0
203, 93.0
204, 93.0
205, 94.0
206, 93.0
207, 96.0
208, 96.0
209, 94.0
210, 92.0
211, 98.0
212, 95.0
213, 92.0
214, 95.0
215, 92.0
216, 94.0
217, 94.0
218, 95.0
219, 90.0
220, 93.0
221, 97.0
222, 97.0
223, 96.0
224, 93.0
225, 95.0
226, 92.0
227, 97.0
228, 96.0
229, 94.0
230, 94.0
231, 93.0
232,100.0
233, 88.0
234, 92.0
235, 92.0
236, 92.0
237, 89.0
238, 97.0
239, 94.0
240, 95.0
241, 94.0
242, 93.0
243, 96.0
244, 92.0
245, 95.0
246, 93.0
247, 95.0
248, 90.0
249, 94.0
250, 89.0
251, 95.0
252, 90.0
253, 94.0
254, 95.0
255, 95.0
256, 93.0
257, 94.0
258,100.0
259, 92.0
260, 90.0
261, 96.0
262, 93.0
263, 92.0
264, 95.0
265, 96.0
266, 92.0
267, 96.0
268, 95.0
269, 91.0
270, 93.0
271, 95.0
272, 95.0
273, 88.0
274, 91.0
275, 94.0
276, 99.0
277, 92.0
278, 92.0
279, 95.0
280, 91.0
281, 95.0
282, 93.0
283, 94.0
284, 93.0
285, 93.0
286, 93.0
287, 94.0
288, 97.0
289, 91.0
290, 94.0
291, 95.0
292, 92.0
293, 99.0
294, 95.0
295, 92.0
296, 92.0
297, 92.0
298, 92.0
299, 94.0
300, 92.0
301, 90.0
302, 91.0
303, 94.0
304, 93.0
305, 91.0
306, 93.0
307, 87.0
308, 94.0
309, 96.0
310, 90.0
311, 91.0
312, 93.0
313, 97.0
314, 94.0
315, 94.0
316, 93.0
317, 97.0
318, 94.0
319, 90.0
320, 94.0
321, 93.0
322, 95.0
323, 94.0
324, 92.0
325, 95.0
326, 93.0
327, 95.0
328, 92.0
329, 93.0
330, 93.0
331, 95.0
332, 97.0
333, 93.0
334, 95.0
335, 91.0
336, 94.0
337, 94.0
338, 91.0
339, 94.0
340, 92.0
341, 93.0
342, 94.0
343, 93.0
344, 92.0
345, 96.0
346, 94.0
347, 95.0
348, 91.0
349, 94.0
350, 97.0
351, 96.0
352, 95.0
353, 88.0
354, 95.0
355, 90.0
356, 92.0
357, 92.0
358, 94.0
359, 95.0
360, 93.0
361, 92.0
362, 93.0
363, 98.0
364, 93.0
365, 95.0
366, 93.0
367, 91.0
368, 95.0
369, 91.0
370, 90.0
371, 91.0
372, 90.0
373, 93.0
374, 86.0
375, 95.0
376, 88.0
377, 92.0
378, 93.0
379, 96.0
380, 94.0
381, 91.0
382, 95.0
383, 93.0
384, 95.0
385, 91.0
386, 93.0
387, 94.0
388, 95.0
389, 93.0
390, 97.0
391, 96.0
392, 95.0
393, 97.0
394, 88.0
395, 99.0
396, 97.0
397, 96.0
398, 97.0
399, 90.0
400, 96.0
401, 93.0
402, 98.0
403, 96.0
404, 88.0
405, 94.0
406, 95.0
407, 96.0
408, 91.0
409, 95.0
410, 95.0
411, 93.0
412, 93.0
413, 93.0
414, 91.0
415, 93.0
416, 97.0
417, 93.0
418, 97.0
419, 93.0
420, 91.0
421, 96.0
422, 93.0
423, 91.0
424, 96.0
425, 94.0
426, 98.0
427, 92.0
428, 92.0
429, 93.0
430, 90.0
431,102.0
432, 91.0
433, 93.0
434, 95.0
435, 96.0
436, 93.0
437, 92.0
438, 98.0
439, 98.0
440, 92.0
441, 93.0
442, 95.0
443, 93.0
444, 89.0
445,101.0
446, 91.0
447, 96.0
448, 96.0
449, 96.0
450, 92.0
451, 92.0
452, 95.0
453, 93.0
454, 96.0
455, 98.0
456, 93.0
457, 97.0
458, 92.0
459, 94.0
460, 96.0
461, 93.0
462, 92.0
463, 88.0
464, 95.0
465, 95.0
466, 98.0
467, 88.0
468, 97.0
469, 88.0
470, 96.0
471,100.0
472, 95.0
473, 95.0
474, 96.0
475, 92.0
476, 95.0
477, 94.0
478, 91.0
479, 98.0
480, 97.0
481, 99.0
482, 91.0
483, 99.0
484, 94.0
485, 96.0
486, 94.0
487, 95.0
488, 94.0
489, 91.0
490, 88.0
491, 95.0
492, 93.0
493, 93.0
494, 94.0
495, 94.0
496, 97.0
497, 93.0
498, 93.0
499, 94.0
500, 92.0
501, 98.0
502, 94.0
503, 91.0
504, 93.0
505, 96.0
506, 93.0
507, 94.0
508, 94.0
509, 90.0
510, 96.0
511, 96.0
512, 94.0
513, 94.0
514, 94.0
515, 93.0
516, 96.0
517, 90.0
518, 89.0
519, 91.0
520, 94.0
521, 90.0
522, 93.0
523, 97.0
524, 96.0
525, 95.0
526, 95.0
527, 95.0
528, 92.0
529, 97.0
530, 95.0
531, 96.0
532, 91.0
533, 97.0
534, 96.0
535, 95.0
536, 96.0
537, 99.0
538, 97.0
539, 90.0
540, 97.0
541, 94.0
542, 98.0
543, 94.0
544, 89.0
545, 91.0
546, 96.0
547, 93.0
548, 96.0
549, 92.0
550, 95.0
551, 90.0
552, 94.0
553, 95.0
554, 91.0
555, 93.0
556, 92.0
557, 93.0
558, 93.0
559, 96.0
560, 92.0
561, 97.0
562, 94.0
563, 94.0
564, 94.0
565, 95.0
566, 93.0
567, 97.0
568, 93.0
569, 94.0
570, 98.0
571, 90.0
572, 90.0
573, 93.0
574, 91.0
575, 97.0
576, 95.0
577, 98.0
578, 90.0
579, 96.0
580, 91.0
581, 94.0
582, 97.0
583, 96.0
584, 95.0
585, 96.0
586, 92.0
587, 96.0
588, 90.0
589, 92.0
590, 92.0
591, 99.0
592, 93.0
593, 93.0
594, 96.0
595, 99.0
596, 95.0
597, 96.0
598, 98.0
599, 92.0
600, 97.0
601, 93.0
602, 89.0
603, 95.0
604, 90.0
605, 96.0
606, 95.0
607, 89.0
608, 89.0
609, 98.0
610, 93.0
611, 92.0
612, 96.0
613, 95.0
614, 98.0
615, 91.0
616, 94.0
617,100.0
618, 93.0
619, 91.0
620, 94.0
621, 93.0
622, 95.0
623, 96.0
