Single
3648
Scan 0,   
0, 96.0
1, 98.0
2, 96.0
3,102.0
4, 97.0
5,102.0
6, 96.0
7,101.0
8, 96.0
9,100.0
10, 92.0
11, 94.0
12, 95.0
13,102.0
14, 97.0
15, 97.0
16,101.0
17, 96.0
18, 98.0
19, 99.0
20, 96.0
21, 92.0
22, 98.0
23,101.0
24, 96.0
25, 99.0
26, 96.0
27, 92.0
28, 95.0
29, 97.0
30, 98.0
31, 97.0
32, 98.0
33, 96.0
34, 97.0
35, 99.0
36, 95.0
37,100.0
38, 95.0
39, 96.0
40, 95.0
41, 95.0
42, 96.0
43, 98.0
44, 98.0
45, 97.0
46, 96.0
47, 96.0
48, 97.0
49, 99.0
50, 98.0
51, 92.0
52, 94.0
53,100.0
54, 95.0
55,100.0
56, 98.0
57, 93.0
58, 95.0
59,100.0
60, 98.0
61, 96.0
62, 95.0
63, 93.0
64, 94.0
65, 95.0
66, 96.0
67, 97.0
68, 91.0
69, 97.0
70, 97.0
71, 94.0
72, 98.0
73, 93.0
74, 97.0
75, 98.0
76, 90.0
77, 97.0
78, 99.0
79, 95.0
80, 90.0
81, 99.0
82, 98.0
83, 96.0
84, 93.0
85, 93.0
86, 99.0
87, 98.0
88, 98.0
89, 97.0
90, 95.0
91, 95.0
92, 95.0
93,100.0
94, 97.0
95, 98.0
96, 93.0
97,100.0
98, 98.0
99,100.0
100, 93.0
101, 95.0
102, 98.0
103, 95.0
104, 95.0
105, 98.0
106, 94.0
107,100.0
108, 94.0
109, 98.0
110, 97.0
111, 98.0
112, 98.0
113, 91.0
114, 97.0
115, 96.0
116, 96.0
117, 98.0
118, 99.0
119, 97.0
120,100.0
121, 97.0
122, 95.0
123, 95.0
124, 98.0
125, 98.0
126, 94.0
127, 94.0
128, 98.0
129, 96.0
130, 96.0
131, 94.0
132, 97.0
133, 92.0
134, 93.0
135, 94.0
136, 95.0
137, 98.0
138, 94.0
139, 94.0
140, 97.0
141, 93.0
142, 93.0
143, 99.0
144, 96.0
145, 95.0
146, 95.0
147, 97.0
148, 92.0
149, 92.0
150, 98.0
151, 95.0
152,101.0
153, 93.0
154, 99.0
155, 98.0
156, 98.0
157, 99.0
158, 98.0
159, 96.0
160, 93.0
161,101.0
162, 93.0
163, 96.0
164, 97.0
165, 95.0
166, 96.0
167, 96.0
168, 94.0
169, 93.0
170, 95.0
171, 95.0
172, 95.0
173, 94.0
174, 96.0
175, 98.0
176, 95.0
177, 94.0
178, 97.0
179, 96.0
180, 92.0
181, 96.0
182, 95.0
183, 96.0
184, 95.0
185, 96.0
186, 95.0
187, 95.0
188, 95.0
189, 95.0
190, 96.0
191, 95.0
192, 94.0
193,100.0
194, 95.0
195, 99.0
196, 94.0
197, 99.0
198, 93.0
199, 98.0
200, 93.0
201, 96.0
202, 94.0
203, 96.0
204, 97.0
205,101.0
206, 95.0
207, 94.0
208, 98.0
209,100.0
210,100.0
211, 95.0
212, 94.0
213, 96.0
214, 99.0
215, 96.0
216, 97.0
217, 92.0
218, 93.0
219, 98.0
220, 93.0
221, 93.0
222, 94.0
223, 93.0
224, 95.0
225, 93.0
226, 97.0
227,101.0
228, 94.0
229, 95.0
230, 96.0
231, 95.0
232, 94.0
233, 97.0
234, 97.0
235,100.0
236, 95.0
237, 94.0
238, 95.0
239, 91.0
240, 92.0
241, 94.0
242,100.0
243, 97.0
244,100.0
245, 93.0
246, 94.0
247, 97.0
248, 92.0
249, 95.0
250, 97.0
251,100.0
252, 97.0
253, 97.0
254, 99.0
255, 95.0
256, 97.0
257, 92.0
258, 95.0
259, 97.0
260, 91.0
261, 97.0
262, 96.0
263, 95.0
264, 95.0
265, 96.0
266, 96.0
267, 95.0
268, 92.0
269, 98.0
270, 95.0
271, 97.0
272, 94.0
273, 99.0
274, 91.0
275, 94.0
276, 93.0
277, 94.0
278, 95.0
279,101.0
280, 97.0
281, 95.0
282, 91.0
283, 97.0
284, 94.0
285, 94.0
286, 98.0
287, 91.0
288, 94.0
289, 96.0
290,100.0
291, 95.0
292, 90.0
293, 96.0
294, 95.0
295, 99.0
296, 95.0
297, 97.0
298, 90.0
299, 93.0
300, 94.0
301, 94.0
302, 94.0
303, 95.0
304, 97.0
305, 94.0
306, 98.0
307, 97.0
308, 95.0
309, 94.0
310, 96.0
311, 96.0
312, 95.0
313, 95.0
314, 96.0
315, 98.0
316, 97.0
317, 95.0
318, 97.0
319, 95.0
320, 97.0
321,101.0
322, 97.0
323, 95.0
324, 94.0
325, 93.0
326, 95.0
327, 95.0
328, 98.0
329, 88.0
330, 99.0
331, 97.0
332, 98.0
333, 95.0
334, 94.0
335, 98.0
336, 96.0
337, 95.0
338, 97.0
339, 99.0
340, 93.0
341, 97.0
342, 96.0
343, 94.0
344, 94.0
345, 93.0
346, 97.0
347, 92.0
348, 95.0
349, 96.0
350, 95.0
351,100.0
352, 92.0
353, 97.0
354, 97.0
355, 97.0
356, 96.0
357, 99.0
358, 96.0
359,101.0
360, 97.0
361, 92.0
362, 95.0
363, 96.0
364, 95.0
365, 99.0
366, 93.0
367, 98.0
368, 93.0
369, 92.0
370, 98.0
371, 94.0
372, 99.0
373, 97.0
374, 95.0
375, 94.0
376, 97.0
377, 95.0
378, 98.0
379, 94.0
380, 95.0
381, 95.0
382, 99.0
383, 95.0
384, 98.0
385, 98.0
386, 95.0
387,100.0
388, 95.0
389, 98.0
390,100.0
391, 93.0
392, 96.0
393, 93.0
394, 95.0
395, 95.0
396, 96.0
397, 98.0
398, 97.0
399, 95.0
400, 95.0
401, 93.0
402, 97.0
403, 96.0
404, 90.0
405, 96.0
406, 97.0
407, 98.0
408, 95.0
409, 98.0
410, 94.0
411, 96.0
412, 95.0
413, 94.0
414, 93.0
415, 95.0
416, 92.0
417, 93.0
418, 92.0
419, 93.0
420, 97.0
421, 96.0
422, 99.0
423, 91.0
424, 96.0
425, 96.0
426, 95.0
427, 95.0
428, 96.0
429, 96.0
430, 92.0
431, 94.0
432, 94.0
433, 97.0
434, 94.0
435, 96.0
436, 93.0
437,102.0
438, 97.0
439, 96.0
440, 96.0
441, 92.0
442, 99.0
443, 94.0
444,101.0
445, 97.0
446, 99.0
447, 95.0
448, 94.0
449, 99.0
450, 92.0
451, 93.0
452, 96.0
453, 98.0
454, 94.0
455,100.0
456, 93.0
457, 96.0
458, 99.0
459, 95.0
460, 94.0
461, 96.0
462, 93.0
463, 97.0
464, 97.0
465,100.0
466,101.0
467, 91.0
468, 99.0
469, 94.0
470, 99.0
471, 94.0
472, 96.0
473, 91.0
474, 97.0
475,103.0
476, 97.0
477, 93.0
478, 94.0
479, 96.0
480, 97.0
481, 96.0
482, 96.0
483, 96.0
484, 96.0
485, 96.0
486, 97.0
487, 94.0
488, 98.0
489, 96.0
490,101.0
491,100.0
492,100.0
493, 95.0
494, 98.0
495, 98.0
496, 95.0
497, 97.0
498, 96.0
499,101.0
500, 97.0
501, 92.0
502, 99.0
503, 94.0
504, 95.0
505, 97.0
506, 92.0
507,101.0
508, 95.0
509, 99.0
510, 95.0
511, 96.0
512, 96.0
513, 96.0
514, 95.0
515, 94.0
516, 95.0
517, 96.0
518, 93.0
519, 95.0
520, 93.0
521, 96.0
522,100.0
523, 95.0
524, 88.0
525, 99.0
526, 96.0
527, 95.0
528, 99.0
529,101.0
530, 97.0
531, 97.0
532, 94.0
533, 96.0
534, 95.0
535, 94.0
536, 97.0
537, 99.0
538, 98.0
539, 93.0
540, 97.0
541, 99.0
542, 98.0
543, 97.0
544, 97.0
545, 93.0
546, 98.0
547,102.0
548, 92.0
549, 95.0
550, 93.0
551, 90.0
552, 99.0
553, 92.0
554, 97.0
555,100.0
556, 94.0
557, 93.0
558, 98.0
559, 94.0
560, 95.0
561, 94.0
562, 96.0
563, 89.0
564, 93.0
565, 93.0
566, 97.0
567, 98.0
568, 98.0
569, 95.0
570, 95.0
571, 94.0
572, 94.0
573, 95.0
574, 97.0
575, 95.0
576, 99.0
577, 98.0
578, 96.0
579,100.0
580, 99.0
581,100.0
582, 95.0
583, 89.0
584, 96.0
585, 97.0
586, 93.0
587, 94.0
588, 95.0
589, 95.0
590, 96.0
591, 96.0
592, 96.0
