Single
3648
Scan 0,   
0, 78.0
1, 77.0
2, 78.0
3, 80.0
4, 80.0
5, 77.0
6, 76.0
7, 77.0
8, 77.0
9, 80.0
10, 78.0
11, 78.0
12, 81.0
13, 76.0
14, 80.0
15, 77.0
16, 78.0
17, 77.0
18, 80.0
19, 82.0
20, 80.0
21, 79.0
22, 80.0
23, 78.0
24, 78.0
25, 78.0
26, 83.0
27, 78.0
28, 74.0
29, 79.0
30, 77.0
31, 75.0
32, 81.0
33, 80.0
34, 74.0
35, 80.0
36, 84.0
37, 84.0
38, 76.0
39, 80.0
40, 84.0
41, 82.0
42, 81.0
43, 78.0
44, 77.0
45, 82.0
46, 84.0
47, 79.0
48, 77.0
49, 81.0
50, 81.0
51, 82.0
52, 80.0
53, 80.0
54, 77.0
55, 81.0
56, 83.0
57, 83.0
58, 79.0
59, 76.0
60, 82.0
61, 80.0
62, 77.0
63, 75.0
64, 80.0
65, 78.0
66, 76.0
67, 76.0
68, 81.0
69, 80.0
70, 82.0
71, 82.0
72, 80.0
73, 79.0
74, 80.0
75, 78.0
76, 83.0
77, 76.0
78, 77.0
79, 80.0
80, 81.0
81, 81.0
82, 78.0
83, 83.0
84, 85.0
85, 83.0
86, 80.0
87, 75.0
88, 82.0
89, 78.0
90, 83.0
91, 80.0
92, 80.0
93, 78.0
94, 78.0
95, 79.0
96, 78.0
97, 75.0
98, 78.0
99, 80.0
100, 82.0
101, 80.0
102, 85.0
103, 78.0
104, 78.0
105, 83.0
106, 81.0
107, 79.0
108, 83.0
109, 79.0
110, 77.0
111, 82.0
112, 79.0
113, 75.0
114, 80.0
115, 80.0
116, 81.0
117, 80.0
118, 82.0
119, 79.0
120, 83.0
121, 82.0
122, 81.0
123, 82.0
124, 83.0
125, 82.0
126, 82.0
127, 78.0
128, 78.0
129, 80.0
130, 79.0
131, 82.0
132, 78.0
133, 74.0
134, 80.0
135, 79.0
136, 78.0
137, 82.0
138, 79.0
139, 77.0
140, 80.0
141, 80.0
142, 81.0
143, 84.0
144, 80.0
145, 79.0
146, 81.0
147, 78.0
148, 77.0
149, 78.0
150, 78.0
151, 77.0
152, 77.0
153, 79.0
154, 78.0
155, 77.0
156, 82.0
157, 78.0
158, 78.0
159, 79.0
160, 82.0
161, 80.0
162, 76.0
163, 77.0
164, 78.0
165, 78.0
166, 83.0
167, 80.0
168, 80.0
169, 80.0
170, 80.0
171, 80.0
172, 72.0
173, 81.0
174, 80.0
175, 79.0
176, 81.0
177, 77.0
178, 81.0
179, 80.0
180, 77.0
181, 80.0
182, 74.0
183, 77.0
184, 76.0
185, 81.0
186, 78.0
187, 80.0
188, 82.0
189, 78.0
190, 82.0
191, 78.0
192, 80.0
193, 78.0
194, 81.0
195, 79.0
196, 78.0
197, 79.0
198, 81.0
199, 81.0
200, 83.0
201, 79.0
202, 81.0
203, 77.0
204, 80.0
205, 80.0
206, 77.0
207, 81.0
208, 79.0
209, 77.0
210, 81.0
211, 76.0
212, 81.0
213, 80.0
214, 80.0
215, 81.0
216, 80.0
217, 80.0
218, 77.0
219, 78.0
220, 76.0
221, 78.0
222, 81.0
223, 77.0
224, 80.0
225, 80.0
226, 79.0
227, 77.0
228, 77.0
229, 79.0
230, 79.0
231, 80.0
232, 81.0
233, 81.0
234, 77.0
235, 80.0
236, 81.0
237, 78.0
238, 75.0
239, 81.0
240, 81.0
241, 80.0
242, 78.0
243, 80.0
244, 79.0
245, 78.0
246, 78.0
247, 78.0
248, 78.0
249, 82.0
250, 81.0
251, 76.0
252, 79.0
253, 82.0
254, 76.0
255, 78.0
256, 79.0
257, 83.0
258, 78.0
259, 85.0
260, 80.0
261, 78.0
262, 82.0
263, 78.0
264, 78.0
265, 80.0
266, 78.0
267, 72.0
268, 73.0
269, 82.0
270, 82.0
271, 77.0
272, 82.0
273, 80.0
274, 80.0
275, 78.0
276, 78.0
277, 78.0
278, 83.0
279, 81.0
280, 80.0
281, 76.0
282, 83.0
283, 82.0
284, 78.0
285, 76.0
286, 80.0
287, 78.0
288, 82.0
289, 82.0
290, 78.0
291, 80.0
292, 80.0
293, 75.0
294, 79.0
295, 78.0
296, 79.0
297, 75.0
298, 80.0
299, 81.0
300, 78.0
301, 83.0
302, 76.0
303, 75.0
304, 81.0
305, 78.0
306, 81.0
307, 83.0
308, 81.0
309, 80.0
310, 81.0
311, 83.0
312, 78.0
313, 80.0
314, 80.0
315, 77.0
316, 79.0
317, 77.0
318, 82.0
319, 81.0
320, 77.0
321, 80.0
322, 75.0
323, 79.0
324, 80.0
325, 82.0
326, 80.0
327, 76.0
328, 82.0
329, 81.0
330, 78.0
331, 81.0
332, 80.0
333, 78.0
334, 80.0
335, 77.0
336, 82.0
337, 76.0
338, 77.0
339, 86.0
340, 80.0
341, 75.0
342, 81.0
343, 81.0
344, 77.0
345, 78.0
346, 82.0
347, 80.0
348, 75.0
349, 84.0
350, 76.0
351, 80.0
352, 80.0
353, 80.0
354, 79.0
355, 77.0
356, 82.0
357, 80.0
358, 80.0
359, 81.0
360, 81.0
361, 82.0
362, 82.0
363, 79.0
364, 83.0
365, 78.0
366, 78.0
367, 81.0
368, 79.0
369, 78.0
370, 82.0
371, 75.0
372, 84.0
373, 80.0
374, 83.0
375, 77.0
376, 82.0
377, 75.0
378, 83.0
379, 80.0
380, 77.0
381, 81.0
382, 74.0
383, 82.0
384, 74.0
385, 81.0
386, 85.0
387, 78.0
388, 82.0
389, 80.0
390, 80.0
