Delay [ps]	Value	ValueErr
		
-293,333	52,650	0,587
-287,467	56,450	0,510
-281,600	59,150	0,933
-275,733	62,350	1,268
-269,867	64,950	0,759
-264,000	65,750	0,786
-258,133	70,200	1,005
-252,267	74,100	1,071
-246,400	82,500	1,051
-240,533	89,750	1,164
-234,667	97,700	1,380
-228,800	103,150	1,694
-222,933	111,400	1,536
-217,067	120,150	2,720
-211,200	126,100	1,997
-205,333	129,400	1,698
-199,467	133,600	2,349
-193,600	133,350	1,226
-187,733	138,650	3,066
-181,867	145,650	1,725
-176,000	150,550	2,064
-170,133	163,350	4,591
-164,267	180,700	1,174
-158,400	192,400	3,267
-152,533	195,600	3,545
-146,667	202,350	2,455
-140,800	215,250	2,552
-134,933	240,450	2,544
-129,067	265,600	1,429
-123,200	299,750	2,403
-117,333	344,200	2,567
-111,467	374,800	4,561
-105,600	392,600	4,581
-99,733	412,250	5,739
-93,867	409,250	8,807
-88,000	425,350	3,746
-82,133	414,050	4,594
-76,267	427,700	5,507
-70,400	426,000	6,981
-64,533	429,750	4,700
-58,667	436,200	3,942
-52,800	452,850	4,234
-46,933	489,300	4,692
-41,067	503,750	3,076
-35,200	519,800	3,679
-29,333	545,200	5,386
-23,467	578,500	2,724
-17,600	620,050	6,057
-11,733	659,350	17,860
-5,867	742,750	8,334
0,000	851,800	10,645
5,867	919,650	10,075
11,733	991,150	7,659
17,600	1039,200	10,165
23,467	1022,200	13,017
29,333	940,050	11,910
35,200	903,500	11,501
41,067	844,400	9,539
46,933	803,600	4,406
52,800	777,050	4,310
58,667	761,950	9,185
64,533	779,450	2,188
70,400	777,250	5,379
76,267	785,350	5,234
82,133	797,750	7,840
88,000	806,050	8,501
93,867	820,500	7,522
99,733	870,550	4,582
105,600	921,500	9,467
111,467	1023,500	14,834
117,333	1144,150	17,542
123,200	1249,950	14,032
129,067	1310,350	10,545
134,933	1278,300	15,055
140,800	1235,950	19,595
146,667	1151,200	11,755
152,533	1024,250	12,143
158,400	929,100	12,004
164,267	854,100	8,360
170,133	787,600	4,817
176,000	736,750	3,041
181,867	699,550	5,186
187,733	661,600	5,862
193,600	641,700	3,962
199,467	625,850	8,054
205,333	606,700	4,105
211,200	613,100	3,726
217,067	610,850	8,273
222,933	643,800	9,277
228,800	690,800	5,569
234,667	776,550	6,597
240,533	858,300	7,385
246,400	899,450	8,082
252,267	897,100	8,454
258,133	848,250	9,915
264,000	783,350	7,652
269,867	649,350	3,422
275,733	533,400	6,261
281,600	438,650	4,196
287,467	369,300	2,273
293,333	331,750	2,268
