Angle [deg]	Value	ValueErr
		
-0,500	181,700	3,310
-0,490	180,650	3,376
-0,480	181,950	3,300
-0,470	181,750	3,492
-0,460	181,650	3,031
-0,450	183,100	3,259
-0,440	184,600	3,202
-0,430	185,650	3,422
-0,420	185,650	3,528
-0,410	185,650	3,407
-0,400	186,200	3,488
-0,390	184,500	3,456
-0,380	183,650	3,183
-0,370	183,050	3,086
-0,360	181,450	3,379
-0,350	181,700	3,294
-0,340	182,550	3,426
-0,330	183,400	3,202
-0,320	185,600	3,267
-0,310	188,650	3,329
-0,300	190,000	3,554
-0,290	191,150	3,329
-0,280	191,200	2,913
-0,270	189,600	3,218
-0,260	187,250	3,796
-0,250	184,550	3,348
-0,240	183,350	3,329
-0,230	183,050	3,348
-0,220	183,000	2,956
-0,210	185,850	3,717
-0,200	191,650	3,117
-0,190	196,350	3,265
-0,180	204,250	3,193
-0,170	207,650	3,083
-0,160	209,050	3,236
-0,150	208,200	3,286
-0,140	202,550	2,819
-0,130	195,900	3,740
-0,120	190,150	3,498
-0,110	187,200	3,334
-0,100	190,850	3,233
-0,090	204,300	3,799
-0,080	228,200	4,112
-0,070	266,600	5,134
-0,060	319,450	6,186
-0,050	381,750	5,230
-0,040	448,950	4,582
-0,030	519,350	8,647
-0,020	581,850	9,505
-0,010	631,500	6,444
0,000	669,900	5,848
0,010	691,550	5,844
0,020	687,850	6,310
0,030	668,650	5,566
0,040	619,000	5,487
0,050	560,600	10,338
0,060	495,200	7,120
0,070	426,600	9,069
0,080	358,500	8,519
0,090	304,050	6,924
0,100	251,800	4,641
0,110	216,800	4,841
0,120	195,250	3,522
0,130	185,400	3,169
0,140	183,350	3,014
0,150	188,600	3,315
0,160	195,300	3,743
0,170	202,650	3,133
0,180	208,000	3,642
0,190	209,800	3,222
0,200	208,700	3,511
0,210	205,000	3,277
0,220	199,350	3,167
0,230	193,600	3,299
0,240	187,700	3,373
0,250	183,200	3,254
0,260	181,450	3,120
0,270	181,600	3,085
0,280	183,000	3,277
0,290	184,900	3,110
0,300	189,000	3,309
0,310	190,200	3,458
0,320	190,500	3,269
0,330	189,950	3,379
0,340	189,300	3,556
0,350	188,100	3,007
0,360	185,600	3,251
0,370	183,550	3,268
0,380	183,450	3,203
0,390	182,150	3,528
0,400	183,200	3,189
0,410	184,000	3,293
0,420	184,500	3,253
0,430	186,900	3,386
0,440	186,600	3,545
0,450	186,500	3,364
0,460	185,900	3,194
0,470	186,200	2,821
0,480	184,400	3,235
0,490	183,200	3,350
0,500	181,650	3,183
