Angle [deg]	Value	ValueErr
		
-0,500	60,600	0,503
-0,490	60,250	0,550
-0,480	60,100	0,308
-0,470	59,200	0,410
-0,460	59,400	0,503
-0,450	59,450	0,510
-0,440	60,000	0,000
-0,430	61,300	0,470
-0,420	62,650	0,489
-0,410	63,500	0,513
-0,400	64,000	0,000
-0,390	64,100	0,308
-0,380	64,000	0,000
-0,370	63,000	0,324
-0,360	61,400	0,598
-0,350	60,100	0,308
-0,340	59,800	0,410
-0,330	59,950	0,224
-0,320	60,600	0,503
-0,310	62,200	0,410
-0,300	65,000	0,459
-0,290	66,900	0,308
-0,280	68,300	0,470
-0,270	69,500	0,513
-0,260	68,800	0,410
-0,250	67,300	0,470
-0,240	65,700	0,470
-0,230	63,150	0,366
-0,220	61,900	0,308
-0,210	61,000	0,000
-0,200	62,900	0,447
-0,190	66,650	0,671
-0,180	71,700	0,801
-0,170	77,600	0,995
-0,160	83,750	0,716
-0,150	90,250	0,786
-0,140	93,700	0,657
-0,130	94,550	0,605
-0,120	93,350	0,489
-0,110	92,100	0,718
-0,100	91,700	0,470
-0,090	95,900	0,788
-0,080	108,350	1,981
-0,070	129,550	3,154
-0,060	162,300	4,001
-0,050	210,050	8,363
-0,040	268,050	8,153
-0,030	333,800	10,029
-0,020	405,100	7,269
-0,010	480,400	8,629
0,000	541,100	9,475
0,010	592,250	9,233
0,020	622,200	7,338
0,030	626,700	4,692
0,040	608,400	8,762
0,050	565,200	7,702
0,060	511,900	9,324
0,070	445,900	8,644
0,080	369,950	9,676
0,090	291,650	15,469
0,100	227,500	8,043
0,110	168,800	9,551
0,120	122,700	5,162
0,130	91,650	3,438
0,140	72,350	2,134
0,150	62,600	0,883
0,160	61,900	0,308
0,170	64,900	0,718
0,180	70,600	0,598
0,190	76,500	0,513
0,200	79,900	0,308
0,210	81,000	0,000
0,220	79,800	0,616
0,230	76,100	0,718
0,240	71,900	0,852
0,250	66,650	0,813
0,260	63,100	0,447
0,270	60,300	0,470
0,280	59,550	0,510
0,290	60,000	0,324
0,300	61,600	0,503
0,310	63,900	0,308
0,320	65,950	0,224
0,330	66,900	0,553
0,340	67,100	0,308
0,350	66,700	0,470
0,360	65,100	0,447
0,370	62,950	0,394
0,380	61,300	0,470
0,390	59,900	0,308
0,400	59,000	0,000
0,410	59,000	0,000
0,420	59,850	0,366
0,430	60,850	0,366
0,440	62,050	0,224
0,450	63,000	0,000
0,460	63,150	0,366
0,470	62,950	0,224
0,480	62,100	0,308
0,490	61,000	0,000
0,500	59,900	0,308
